Time, People in elevator, Elevator floor, Sorted queue)
25,1,2,1
35,2,1,9;10
105,2;4;5;6;7;8,8,10;9;4;3;2
115,4;5;6;7;8,9,10;6;4;3;2
125,3;5;6;8,10,6;5;4;3;2
145,3;5;6;8;12,8,6;5;4;3;2;1
165,3;5;6;8;11;12;15,6,5;4;3;2;1;8
175,5;6;8;11;12;14;15,5,4;3;2;1;6;8;9
185,6;8;11;12;14;15,4,3;2;1;6;8;9
195,6;10;11;12;14;15;17,3,2;1;6;8;9;7
205,9;10;12;14;15;17;18,2,1;6;8;9;7
215,10;13;14;15;17;18,1,6;8;9;7;2
225,10;13;14;15;17;18;19,2,6;8;9;7;3
235,10;13;14;15;17;18;19;20,3,6;8;9;7;10
355,13;14;15;18;19;20,7,9;6;7;8;7;9;10;6;4;2
375,14;15;18;20,9,6;7;8;7;9;10;6;4;2
405,15;20,6,8;9;8;7;6;10;5;4;2
425,20,8,9;8;7;6;5;10;4;3;2
435,16;20;22;29;35,9,8;7;6;5;10;4;3;2
445,16;20;22;24;29;34;35;40,8,7;6;5;10;4;3;2
455,16;20;22;23;32;35;40;44,7,6;5;10;4;3;2
465,16;20;22;23;26;30;32;35;39;40;44,6,5;10;4;10;3;2
475,16;20;22;23;30;32;35;36;38;40;44;45,5,10;7;10;4;10;3;2
485,16;20;22;23;30;32;35;36;38;40;44;45;46,6,10;7;10;4;10;3;2
525,20;23;30;32;35;36;40;44;45,4,10;7;6;4;10;3;10;2
585,23;30;36;40;44;45,10,7;6;4;10;3;10;2
615,23;30;36;40;44,7,6;4;10;3;10;2
625,23;30;36;40;44;47,6,4;9;10;3;10;2
645,23;28;30;33;36;40;42;44;47;48,4,8;10;3;7;9;10;2
685,23;30;33;36;40;42;44;47;48,8,10;3;7;9;10;2
705,23;30;33;36;40;44;47;48,10,3;7;9;10;2
775,23;33;40;41;47;48,3,7;9;10;2
815,23;33;40;41;47,7,9;10;2
835,23;33;40,9,10;2
845,21;23;31;33;40;43;49,10,7;5;3;2;1
875,21;23;31;33;40;43,7,5;3;2;1
895,23;31;33;40;43,5,3;2;1
915,23;33;40;43,3,2;1
925,25;27;37;43;50,2,1;5;6;7;9
935,25;27;37;50,1,5;6;7;9
975,25;27;50,5,6;7;9
985,25;27,6,7;9
995,25,7,9
1015,,9,
